 (HEAD -> develop, origin/develop) : e417ca41570b1940578739a02328f4fff2dd2fd6
Timestamp: 2016-07-13 17:20:51 -0700
Epoch Timestamp: 1468455651
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/elim-ex-map-1.hs, 2.7095, True
Tests/Unit/pos/elim-ex-list.hs, 2.6298, True
Tests/Unit/pos/elim-ex-let.hs, 2.6420, True
Tests/Unit/pos/elim-ex-compose.hs, 1.0036, True
Tests/Unit/pos/elems.hs, 0.6418, True
Tests/Unit/pos/elements.hs, 0.9125, True
Tests/Unit/pos/duplicate-bind.hs, 0.6735, True
Tests/Unit/pos/dropwhile.hs, 0.8390, True
Tests/Unit/pos/div000.hs, 0.6147, True
Tests/Unit/pos/deptupW.hs, 0.7066, True
Tests/Unit/pos/deptup3.hs, 0.6862, True
Tests/Unit/pos/deptup1.hs, 0.7643, True
Tests/Unit/pos/deptup0.hs, 0.7176, True
Tests/Unit/pos/deptup.hs, 0.8455, True
Tests/Unit/pos/deppair1.hs, 0.6809, True
Tests/Unit/pos/deppair0.hs, 0.6933, True
Tests/Unit/pos/DependentTypes.hs, 0.6570, True
Tests/Unit/pos/deepmeas0.hs, 0.6920, True
Tests/Unit/pos/DB00.hs, 0.6246, True
Tests/Unit/pos/DataKinds.hs, 0.6138, True
Tests/Unit/pos/dataConQuals.hs, 0.6311, True
Tests/Unit/pos/datacon1.hs, 0.6070, True
Tests/Unit/pos/datacon0.hs, 0.7235, True
Tests/Unit/pos/datacon-inv.hs, 0.6158, True
Tests/Unit/pos/DataBase.hs, 0.6600, True
Tests/Unit/pos/data2.hs, 0.7190, True
Tests/Unit/pos/cut00.hs, 0.6647, True
Tests/Unit/pos/csgordon_issue_296.hs, 0.5875, True
Tests/Unit/pos/CountMonad.hs, 0.7302, True
Tests/Unit/pos/coretologic.hs, 0.6533, True
Tests/Unit/pos/contra0.hs, 0.7001, True
Tests/Unit/pos/ConstraintsAppend.hs, 1.0598, True
Tests/Unit/pos/Constraints.hs, 0.6679, True
Tests/Unit/pos/comprehensionTerm.hs, 0.9819, True
Tests/Unit/pos/CompareConstraints.hs, 0.8205, True
Tests/Unit/pos/compare2.hs, 0.6690, True
Tests/Unit/pos/compare1.hs, 0.6932, True
Tests/Unit/pos/compare.hs, 0.6816, True
Tests/Unit/pos/CommentedOut.hs, 0.6119, True
Tests/Unit/pos/Coercion.hs, 0.6329, True
Tests/Unit/pos/cmptag0.hs, 0.6784, True
Tests/Unit/pos/ClojurVector.hs, 0.8458, True
Tests/Unit/pos/ClassReg.hs, 0.6230, True
Tests/Unit/pos/Class2.hs, 0.6388, True
Tests/Unit/pos/Class.hs, 0.8042, True
Tests/Unit/pos/Chunks.hs, 0.7015, True
Tests/Unit/pos/Cat.hs, 0.6186, True
Tests/Unit/pos/case-lambda-join.hs, 0.7413, True
Tests/Unit/pos/BST000.hs, 1.0436, True
Tests/Unit/pos/BST.hs, 3.7678, True
Tests/Unit/pos/bounds1.hs, 0.6227, True
