 (HEAD -> strings, origin/strings) : 20523970e499f503556de9c9c53dcc649534a92b
Timestamp: 2016-07-13 16:44:03 -0700
Epoch Timestamp: 1468453443
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/ListQSort-LType.hs, 1.8153, True
Tests/Unit/pos/ListMSort.hs, 1.5177, True
Tests/Unit/pos/ListMSort-LType.hs, 3.1376, True
Tests/Unit/pos/ListLen.hs, 1.4940, True
Tests/Unit/pos/ListLen-LType.hs, 1.4674, True
Tests/Unit/pos/ListKeys.hs, 0.7551, True
Tests/Unit/pos/ListISort.hs, 0.8720, True
Tests/Unit/pos/ListISort-LType.hs, 1.4280, True
Tests/Unit/pos/ListElem.hs, 0.7264, True
Tests/Unit/pos/ListConcat.hs, 0.7944, True
Tests/Unit/pos/listAnf.hs, 0.8696, True
Tests/Unit/pos/LiquidClass.hs, 0.7166, True
Tests/Unit/pos/LiquidArray.hs, 0.7238, True
Tests/Unit/pos/lex.hs, 0.7543, True
Tests/Unit/pos/lets.hs, 0.8632, True
Tests/Unit/pos/LazyWhere1.hs, 0.7682, True
Tests/Unit/pos/LazyWhere.hs, 0.7337, True
Tests/Unit/pos/LambdaEvalTiny.hs, 1.2803, True
Tests/Unit/pos/LambdaEvalSuperTiny.hs, 1.0809, True
Tests/Unit/pos/LambdaEvalMini.hs, 3.1664, True
Tests/Unit/pos/LambdaEval.hs, 21.7579, True
Tests/Unit/pos/LambdaDeBruijn.hs, 1.6900, True
Tests/Unit/pos/kmpVec.hs, 1.8790, True
Tests/Unit/pos/kmpIO.hs, 0.8875, True
Tests/Unit/pos/kmp.hs, 2.5983, True
Tests/Unit/pos/Keys.hs, 0.7359, True
Tests/Unit/pos/jeff.hs, 5.1749, True
Tests/Unit/pos/ite1.hs, 0.6772, True
Tests/Unit/pos/ite.hs, 0.6694, True
Tests/Unit/pos/invlhs.hs, 0.6746, True
Tests/Unit/pos/Invariants.hs, 0.8471, True
Tests/Unit/pos/inline1.hs, 0.6755, True
Tests/Unit/pos/inline.hs, 0.7952, True
Tests/Unit/pos/initarray.hs, 1.0881, True
Tests/Unit/pos/infix.hs, 0.7629, True
Tests/Unit/pos/Infinity.hs, 0.8073, True
Tests/Unit/pos/implies.hs, 0.6880, True
Tests/Unit/pos/imp0.hs, 0.7773, True
Tests/Unit/pos/idNat0.hs, 0.6818, True
Tests/Unit/pos/idNat.hs, 0.6982, True
Tests/Unit/pos/IcfpDemo.hs, 1.0407, True
Tests/Unit/pos/Holes.hs, 0.7689, True
Tests/Unit/pos/hole-fun.hs, 0.7107, True
Tests/Unit/pos/hole-app.hs, 0.7264, True
Tests/Unit/pos/HigherOrderRecFun.hs, 0.7061, True
Tests/Unit/pos/hello.hs, 0.7187, True
Tests/Unit/pos/HedgeUnion.hs, 0.9157, True
Tests/Unit/pos/HaskellMeasure.hs, 0.7139, True
Tests/Unit/pos/HasElem.hs, 0.7175, True
Tests/Unit/pos/grty3.hs, 0.6937, True
Tests/Unit/pos/grty2.hs, 0.7473, True
Tests/Unit/pos/grty1.hs, 0.7014, True
Tests/Unit/pos/grty0.hs, 0.6764, True
Tests/Unit/pos/Graph.hs, 1.2995, True
Tests/Unit/pos/Gradual.hs, 0.0001, True
Tests/Unit/pos/GoodHMeas.hs, 0.7146, True
Tests/Unit/pos/Goo.hs, 0.6682, True
Tests/Unit/pos/go_ugly_type.hs, 0.7854, True
Tests/Unit/pos/go.hs, 0.7298, True
Tests/Unit/pos/gimme.hs, 0.7155, True
Tests/Unit/pos/GhcSort3.T.hs, 1.8251, True
Tests/Unit/pos/GhcSort3.hs, 4.3507, True
Tests/Unit/pos/GhcSort2.hs, 1.7842, True
Tests/Unit/pos/GhcSort1.hs, 4.0522, True
Tests/Unit/pos/GhcListSort.hs, 8.1648, True
Tests/Unit/pos/GeneralizedTermination.hs, 0.7713, True
Tests/Unit/pos/GCD.hs, 0.8920, True
Tests/Unit/pos/GADTs.hs, 0.6528, True
Tests/Unit/pos/gadtEval.hs, 1.4851, True
Tests/Unit/pos/FractionalInstance.hs, 1.4114, True
Tests/Unit/pos/Fractional.hs, 0.6559, True
Tests/Unit/pos/forloop.hs, 0.9727, True
Tests/Unit/pos/for.hs, 0.9870, True
Tests/Unit/pos/Foo.hs, 0.6359, True
Tests/Unit/pos/foldr.hs, 0.7188, True
Tests/Unit/pos/foldN.hs, 0.7092, True
Tests/Unit/pos/Foldl.hs, 10.1392, True
Tests/Unit/pos/Fixme.hs, 0.6289, True
Tests/Unit/pos/filterAbs.hs, 0.9081, True
Tests/Unit/pos/FFI.hs, 0.7855, True
Tests/Unit/pos/failName.hs, 0.6465, True
Tests/Unit/pos/extype.hs, 0.6803, True
